Data for MCCARTHY 3 SW, AK

Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
2016-09-02, 71, 31, 51.0, 0.00, 0.0, 0
2016-09-03, 71, 29, 50.0, 0.00, 0.0, 0
2016-09-04, 72, 28, 50.0, 0.00, 0.0, 0
2016-09-05, 66, 28, 47.0, 0.00, 0.0, 0
2016-09-06, 66, 39, 52.5, 0.03, 0.0, 0
2016-09-07, 57, 36, 46.5, 0.14, 0.0, 0
2016-09-08, 66, 37, 51.5, 0.03, 0.0, 0
2016-09-09, 65, 37, 51.0, 0.00, 0.0, 0
2016-09-10, 57, 31, 44.0, 0.00, 0.0, 0
2016-09-11, 64, 28, 46.0, 0.00, 0.0, 0
2016-09-12, 48, 29, 38.5, 0.24, 0.0, 0
2016-09-13, 56, 43, 49.5, 0.40, 0.0, 0
2016-09-14, 65, 32, 48.5, 0.00, 0.0, 0
2016-09-15, 63, 29, 46.0, 0.03, 0.0, 0
2016-09-16, 54, 38, 46.0, 0.31, 0.0, 0
2016-09-17, 57, 35, 46.0, 0.03, 0.0, 0
2016-09-18, 60, 31, 45.5, 0.00, 0.0, 0
2016-09-19, 61, 28, 44.5, 0.00, 0.0, 0
2016-09-20, 60, 28, 44.0, 0.00, 0.0, 0
2016-09-21, 59, 27, 43.0, 0.00, 0.0, 0
2016-09-22, 54, 37, 45.5, 0.59, 0.0, 0
2016-09-23, 55, 38, 46.5, 0.26, 0.0, 0
2016-09-24, 55, 36, 45.5, 0.02, 0.0, 0
2016-09-25, 56, 34, 45.0, 0.05, 0.0, 0
2016-09-26, 56, 25, 40.5, T, 0.0, 0
2016-09-27, 54, 24, 39.0, 0.00, 0.0, 0
2016-09-28, 58, 28, 43.0, M, M, M
2016-09-29, 60, 28, 44.0, M, M, M
2016-09-30, 57, 25, 41.0, M, M, M
2016-10-01, 62, 24, 43.0, M, M, M
2016-10-02, 61, 23, 42.0, M, M, M
2016-10-03, 45, 29, 37.0, M, M, M
2016-10-04, 54, 26, 40.0, M, M, M
2016-10-05, 55, 24, 39.5, M, M, M
2016-10-06, 57, 22, 39.5, M, M, M
2016-10-07, 56, 20, 38.0, M, M, M
2016-10-08, 53, 17, 35.0, M, M, M
2016-10-09, 62, 17, 39.5, M, M, M
2016-10-10, 59, 17, 38.0, M, M, M
2016-10-11, 60, 18, 39.0, M, M, M
2016-10-12, M, 18, M, M, M, M
2016-10-13, 62, 17, 39.5, M, M, M
2016-10-14, 56, 15, 35.5, M, M, M
2016-10-15, 57, 14, 35.5, M, M, M
2016-10-16, 50, 12, 31.0, M, M, M
2016-10-17, 46, 10, 28.0, M, M, M
2016-10-18, 36, 18, 27.0, M, M, M
2016-10-19, 52, 10, 31.0, M, M, M
2016-10-20, 27, 9, 18.0, M, M, M
2016-10-21, 51, 12, 31.5, M, M, M
2016-10-22, 37, 17, 27.0, M, M, M
2016-10-23, 39, 12, 25.5, M, M, M
2016-10-24, 39, 1, 20.0, M, M, M
2016-10-25, 39, -2, 18.5, M, M, M
2016-10-26, 41, -2, 19.5, M, M, M
2016-10-27, 34, 0, 17.0, M, M, M
2016-10-28, 39, -4, 17.5, M, M, M
2016-10-29, 26, 15, 20.5, M, M, M
2016-10-30, 32, 25, 28.5, M, M, M
2016-10-31, 42, 24, 33.0, M, M, M
2016-11-01, 51, 12, 31.5, M, M, M
2016-11-02, 49, 9, 29.0, M, M, M
2016-11-03, 58, 16, 37.0, M, M, M
2016-11-04, 40, 16, 28.0, M, M, M
2016-11-05, 21, 10, 15.5, M, M, M
2016-11-06, 38, 18, 28.0, M, M, M
2016-11-07, 38, 9, 23.5, M, M, M
2016-11-08, 22, 9, 15.5, M, M, M
2016-11-09, 24, 10, 17.0, M, M, M
2016-11-10, 41, 9, 25.0, M, M, M
2016-11-11, 40, 24, 32.0, M, M, M
2016-11-12, 34, 25, 29.5, M, M, M
2016-11-13, 32, 21, 26.5, M, M, M
2016-11-14, 32, 17, 24.5, M, M, M
2016-11-15, 34, 14, 24.0, M, M, M
2016-11-16, 20, 7, 13.5, M, M, M
2016-11-17, 16, 5, 10.5, M, M, M
2016-11-18, 12, 5, 8.5, M, M, M
2016-11-19, 21, -9, 6.0, M, M, M
2016-11-20, 14, -8, 3.0, M, M, M
2016-11-21, 7, -9, -1.0, M, M, M
2016-11-22, 12, -15, -1.5, M, M, M
2016-11-23, -11, -20, -15.5, M, M, M
2016-11-24, 9, -20, -5.5, M, M, M
2016-11-25, 9, -20, -5.5, M, M, M
2016-11-26, 3, -17, -7.0, M, M, M
2016-11-27, 10, 1, 5.5, M, M, M
2016-11-28, 17, 1, 9.0, M, M, M
2016-11-29, 22, 0, 11.0, M, M, M
2016-11-30, 9, 5, 7.0, M, M, M
2016-12-01, 20, -4, 8.0, M, M, M
2016-12-02, 24, 12, 18.0, M, M, M
2016-12-03, 19, 12, 15.5, M, M, M
2016-12-04, 14, 0, 7.0, M, M, M
2016-12-05, 1, -26, -12.5, M, M, M
2016-12-06, -2, -27, -14.5, M, M, M
2016-12-07, -8, -24, -16.0, M, M, M
2016-12-08, 3, -22, -9.5, M, M, M
2016-12-09, -2, -22, -12.0, M, M, M
2016-12-10, -4, -29, -16.5, M, M, M
2016-12-11, -11, -31, -21.0, M, M, M
2016-12-12, -8, -31, -19.5, M, M, M
2016-12-13, -8, -33, -20.5, M, M, M
2016-12-14, -11, -33, -22.0, M, M, M
2016-12-15, -9, -35, -22.0, M, M, M
2016-12-16, -8, -35, -21.5, M, M, M
2016-12-17, 15, -8, 3.5, M, M, M
2016-12-18, 26, 14, 20.0, M, M, M
2016-12-19, 15, 5, 10.0, M, M, M
2016-12-20, 26, 5, 15.5, M, M, M
2016-12-21, 31, 20, 25.5, M, M, M
2016-12-22, 20, -2, 9.0, M, M, M
2016-12-23, 10, -2, 4.0, M, M, M
2016-12-24, 10, -4, 3.0, M, M, M
2016-12-25, 12, -4, 4.0, M, M, M
2016-12-26, 17, 10, 13.5, M, M, M
2016-12-27, 20, 0, 10.0, M, M, M
2016-12-28, 10, -9, 0.5, M, M, M
2016-12-29, 12, -9, 1.5, M, M, M
2016-12-30, 14, 0, 7.0, M, M, M
2016-12-31, 26, 5, 15.5, M, M, M
2017-01-01, 12, -13, -0.5, M, M, M
2017-01-02, 9, -17, -4.0, M, M, M
2017-01-03, 5, -22, -8.5, M, M, M
2017-01-04, -4, -22, -13.0, M, M, M
2017-01-05, 5, -17, -6.0, M, M, M
2017-01-06, -2, -20, -11.0, M, M, M
2017-01-07, 18, -15, 1.5, M, M, M
2017-01-08, -8, -27, -17.5, M, M, M
2017-01-09, -2, -27, -14.5, M, M, M
2017-01-10, -4, -27, -15.5, M, M, M
2017-01-11, 1, -27, -13.0, M, M, M
2017-01-12, 3, -27, -12.0, M, M, M
2017-01-13, 7, -27, -10.0, M, M, M
2017-01-14, 14, -8, 3.0, M, M, M
2017-01-15, 44, 12, 28.0, M, M, M
2017-01-16, 39, 3, 21.0, M, M, M
2017-01-17, 17, 1, 9.0, M, M, M
2017-01-18, 21, -6, 7.5, M, M, M
2017-01-19, 1, -20, -9.5, M, M, M
2017-01-20, 10, -33, -11.5, M, M, M
2017-01-21, -6, -35, -20.5, M, M, M
2017-01-22, -13, -29, -21.0, M, M, M
2017-01-23, -6, -33, -19.5, M, M, M
2017-01-24, 9, -6, 1.5, M, M, M
2017-01-25, 9, 0, 4.5, M, M, M
2017-01-26, 37, 7, 22.0, M, M, M
2017-01-27, 38, 14, 26.0, M, M, M
2017-01-28, 30, 15, 22.5, M, M, M
2017-01-29, 30, 14, 22.0, M, M, M
2017-01-30, 32, 1, 16.5, M, M, M
2017-01-31, 31, 1, 16.0, M, M, M
2017-02-01, 24, 3, 13.5, M, M, M
2017-02-02, M, M, M, M, M, M
2017-02-03, 14, -11, 1.5, M, M, M
2017-02-04, 20, -17, 1.5, M, M, M
2017-02-05, 14, -18, -2.0, M, M, M
2017-02-06, 9, -20, -5.5, M, M, M
2017-02-07, 17, -24, -3.5, M, M, M
2017-02-08, 7, -27, -10.0, M, M, M
2017-02-09, 10, -27, -8.5, M, M, M
2017-02-10, 0, -22, -11.0, M, M, M
2017-02-11, 20, -4, 8.0, M, M, M
2017-02-12, 9, -6, 1.5, M, M, M
2017-02-13, 18, -15, 1.5, M, M, M
2017-02-14, 36, 18, 27.0, M, M, M
2017-02-15, 54, 25, 39.5, M, M, M
2017-02-16, 42, 18, 30.0, M, M, M
2017-02-17, 34, -4, 15.0, M, M, M
2017-02-18, 36, -2, 17.0, M, M, M
2017-02-19, 44, 0, 22.0, M, M, M
2017-02-20, 26, -11, 7.5, M, M, M
2017-02-21, 23, -17, 3.0, M, M, M
2017-02-22, 19, -20, -0.5, M, M, M
2017-02-23, 23, -6, 8.5, M, M, M
2017-02-24, 31, 0, 15.5, M, M, M
2017-02-25, 36, -4, 16.0, M, M, M
2017-02-26, 31, 10, 20.5, M, M, M
2017-02-27, 38, 9, 23.5, M, M, M
2017-02-28, 25, 0, 12.5, M, M, M
2017-03-01, 27, -6, 10.5, M, M, M
2017-03-02, 15, -18, -1.5, M, M, M
2017-03-03, 12, -24, -6.0, M, M, M
2017-03-04, 18, -20, -1.0, M, M, M
2017-03-05, 22, -24, -1.0, M, M, M
2017-03-06, 27, -27, 0.0, M, M, M
2017-03-07, 12, -27, -7.5, M, M, M
2017-03-08, 23, -33, -5.0, M, M, M
2017-03-09, 17, -31, -7.0, M, M, M
2017-03-10, 19, -29, -5.0, M, M, M
2017-03-11, 27, -29, -1.0, M, M, M
2017-03-12, 24, -26, -1.0, M, M, M
2017-03-13, 25, -24, 0.5, M, M, M
2017-03-14, 17, -11, 3.0, M, M, M
2017-03-15, 18, -15, 1.5, M, M, M
2017-03-16, 23, -2, 10.5, M, M, M
2017-03-17, 24, -17, 3.5, M, M, M
2017-03-18, 17, -20, -1.5, 0.00, 0.0, 22
2017-03-19, 19, -21, -1.0, 0.00, 0.0, 22
2017-03-20, 26, -6, 10.0, T, T, 22
2017-03-21, 35, 11, 23.0, 0.09, 1.3, 22
2017-03-22, 28, 3, 15.5, 0.17, 2.2, 23
2017-03-23, 28, -5, 11.5, 0.00, 0.0, 23
2017-03-24, 31, -5, 13.0, 0.01, 0.2, 23
2017-03-25, 31, 10, 20.5, 0.07, 1.0, 23
2017-03-26, 32, 7, 19.5, 0.03, 0.4, 23
2017-03-27, 33, 7, 20.0, 0.00, 0.0, 23
2017-03-28, 35, 3, 19.0, 0.00, 0.0, 23
2017-03-29, 46, 14, 30.0, 0.00, 0.0, 23
2017-03-30, 48, 11, 29.5, 0.00, 0.0, 22
2017-03-31, 40, 23, 31.5, T, T, 22
2017-04-01, 50, 24, 37.0, 0.00, 0.0, 20
2017-04-02, 50, 29, 39.5, 0.00, 0.0, 19
2017-04-03, 51, 12, 31.5, 0.00, 0.0, 19
2017-04-04, 50, 12, 31.0, 0.00, 0.0, 18
2017-04-05, 54, 19, 36.5, 0.00, 0.0, 17
2017-04-06, 51, 25, 38.0, 0.00, 0.0, 16
2017-04-07, 55, 15, 35.0, T, T, 15
2017-04-08, 49, 13, 31.0, 0.00, 0.0, 14
2017-04-09, 51, 14, 32.5, 0.00, 0.0, 14
2017-04-10, 52, 25, 38.5, 0.00, 0.0, 14
2017-04-11, 54, 26, 40.0, 0.00, 0.0, 13
2017-04-12, 53, 18, 35.5, 0.00, 0.0, 12
2017-04-13, 53, 18, 35.5, 0.00, 0.0, 11
2017-04-14, 54, 18, 36.0, 0.00, 0.0, 10
2017-04-15, 53, 17, 35.0, 0.00, 0.0, 9
2017-04-16, 54, 17, 35.5, 0.00, 0.0, 8
2017-04-17, 54, 18, 36.0, 0.00, 0.0, 7
2017-04-18, 53, 18, 35.5, 0.00, 0.0, 7
2017-04-19, 52, 16, 34.0, 0.00, 0.0, 6
2017-04-20, 52, 15, 33.5, 0.00, 0.0, 5
2017-04-21, 54, 16, 35.0, 0.00, 0.0, 4
2017-04-22, 55, 16, 35.5, 0.00, 0.0, 4
2017-04-23, 58, 18, 38.0, 0.00, 0.0, 3
2017-04-24, 61, 20, 40.5, 0.00, 0.0, 2
2017-04-25, 59, 30, 44.5, 0.00, 0.0, 2
2017-04-26, 59, 30, 44.5, 0.00, 0.0, 1
2017-04-27, 61, 29, 45.0, 0.00, 0.0, T
2017-04-28, 57, 29, 43.0, 0.03, 0.0, T
2017-04-29, 57, 27, 42.0, 0.05, 0.0, T
2017-04-30, 58, 27, 42.5, 0.00, 0.0, T
2017-05-01, 55, 28, 41.5, 0.00, 0.0, 0
2017-05-02, 55, 24, 39.5, 0.00, 0.0, 0
2017-05-03, 56, 24, 40.0, 0.00, 0.0, 0
2017-05-04, 58, 21, 39.5, 0.00, 0.0, 0
2017-05-05, 60, 20, 40.0, 0.00, 0.0, 0
2017-05-06, 63, 22, 42.5, 0.00, 0.0, 0
2017-05-07, 65, 21, 43.0, 0.00, 0.0, 0
2017-05-08, 61, 24, 42.5, 0.00, 0.0, 0
2017-05-09, 64, 25, 44.5, 0.00, 0.0, 0
2017-05-10, 57, 30, 43.5, 0.03, 0.0, 0
2017-05-11, 62, 29, 45.5, 0.00, 0.0, 0
2017-05-12, 68, 26, 47.0, T, 0.0, 0
2017-05-13, 68, 26, 47.0, 0.01, 0.0, 0
2017-05-14, 69, 26, 47.5, 0.00, 0.0, 0
2017-05-15, 58, 30, 44.0, 0.04, 0.0, 0
2017-05-16, 67, 25, 46.0, 0.00, 0.0, 0
2017-05-17, 71, 25, 48.0, 0.00, 0.0, 0
2017-05-18, 66, 27, 46.5, 0.00, 0.0, 0
2017-05-19, 63, 29, 46.0, T, 0.0, 0
2017-05-20, 57, 37, 47.0, T, 0.0, 0
2017-05-21, 60, 38, 49.0, 0.02, 0.0, 0
2017-05-22, 53, 34, 43.5, 0.15, 0.0, M
2017-05-23, 60, 27, 43.5, 0.00, 0.0, 0
2017-05-24, 67, 26, 46.5, 0.00, 0.0, 0
2017-05-25, 55, 28, 41.5, 0.04, 0.0, 0
2017-05-26, 62, 31, 46.5, 0.04, 0.0, 0
2017-05-27, 59, 31, 45.0, 0.00, 0.0, 0
2017-05-28, 56, 34, 45.0, 0.00, 0.0, 0
2017-05-29, 55, 39, 47.0, 0.08, 0.0, 0
2017-05-30, 56, 39, 47.5, T, 0.0, 0
2017-05-31, 54, 34, 44.0, 0.18, 0.0, 0
2017-06-01, 72, 34, 53.0, 0.00, 0.0, 0
2017-06-02, 73, 36, 54.5, 0.00, 0.0, 0
2017-06-03, 73, 37, 55.0, 0.08, 0.0, 0
2017-06-04, 64, 42, 53.0, 0.32, 0.0, 0
2017-06-05, 62, 41, 51.5, 0.10, 0.0, 0
2017-06-06, 69, 39, 54.0, 0.00, 0.0, 0
2017-06-07, 73, 39, 56.0, 0.00, 0.0, 0
2017-06-08, 74, 44, 59.0, 0.00, 0.0, 0
2017-06-09, 79, 43, 61.0, 0.00, 0.0, 0
2017-06-10, 88, 43, 65.5, 0.00, 0.0, 0
2017-06-11, 78, 44, 61.0, 0.03, 0.0, 0
2017-06-12, 65, 45, 55.0, T, 0.0, 0
2017-06-13, 61, 42, 51.5, 0.05, 0.0, 0
2017-06-14, 65, 42, 53.5, 0.52, 0.0, 0
2017-06-15, 69, 32, 50.5, 0.05, 0.0, 0
2017-06-16, 69, 31, 50.0, 0.00, 0.0, 0
2017-06-17, 69, 29, 49.0, T, 0.0, 0
2017-06-18, 68, 42, 55.0, 0.00, 0.0, 0
2017-06-19, 75, 40, 57.5, 0.00, 0.0, 0
2017-06-20, 71, 41, 56.0, 0.49, 0.0, 0
2017-06-21, 59, 45, 52.0, 0.51, 0.0, 0
2017-06-22, 61, 44, 52.5, 0.08, 0.0, 0
2017-06-23, 67, 45, 56.0, T, 0.0, 0
2017-06-24, 76, 48, 62.0, 0.05, 0.0, 0
2017-06-25, 71, 48, 59.5, 0.59, 0.0, 0
2017-06-26, 73, 47, 60.0, 0.10, 0.0, 0
2017-06-27, 71, 47, 59.0, 0.03, 0.0, 0
2017-06-28, 67, 44, 55.5, 0.17, 0.0, 0
2017-06-29, 68, 38, 53.0, 0.00, 0.0, 0
2017-06-30, 67, 42, 54.5, 0.02, 0.0, 0
2017-07-01, 72, 44, 58.0, T, 0.0, 0
2017-07-02, 61, 46, 53.5, 0.22, 0.0, 0
2017-07-03, 61, 45, 53.0, 0.12, 0.0, 0
2017-07-04, 59, 45, 52.0, 0.10, 0.0, 0
2017-07-05, 69, 40, 54.5, 0.00, 0.0, 0
2017-07-06, 82, 39, 60.5, 0.00, 0.0, 0
2017-07-07, 80, 42, 61.0, 0.14, 0.0, 0
2017-07-08, 75, 47, 61.0, 0.21, 0.0, 0
2017-07-09, 56, 40, 48.0, 0.87, 0.0, 0
2017-07-10, 67, 42, 54.5, 0.26, 0.0, 0
2017-07-11, 59, 45, 52.0, 0.04, 0.0, 0
2017-07-12, 63, 41, 52.0, 0.06, 0.0, 0
2017-07-13, 78, 40, 59.0, 0.00, 0.0, 0
2017-07-14, 80, 48, 64.0, 0.01, 0.0, 0
2017-07-15, 80, 41, 60.5, 0.00, 0.0, 0
2017-07-16, 78, 41, 59.5, 0.00, 0.0, 0
2017-07-17, 79, 49, 64.0, 0.00, 0.0, 0
2017-07-18, 78, 46, 62.0, 0.00, 0.0, 0
2017-07-19, 75, 47, 61.0, 0.00, 0.0, 0
2017-07-20, 74, 48, 61.0, 0.00, 0.0, 0
2017-07-21, 77, 40, 58.5, 0.00, 0.0, 0
2017-07-22, 76, 40, 58.0, 0.01, 0.0, 0
2017-07-23, 81, 40, 60.5, 0.00, 0.0, 0
2017-07-24, 82, 39, 60.5, 0.00, 0.0, 0
2017-07-25, 81, 38, 59.5, 0.00, 0.0, 0
2017-07-26, 76, 37, 56.5, 0.00, 0.0, 0
2017-07-27, 66, 49, 57.5, 0.08, 0.0, 0
2017-07-28, 66, 48, 57.0, 0.15, 0.0, 0
2017-07-29, 71, 46, 58.5, T, 0.0, 0
2017-07-30, 73, 47, 60.0, 0.11, 0.0, 0
2017-07-31, 72, 49, 60.5, 0.36, 0.0, 0
2017-08-01, 70, 48, 59.0, 0.02, 0.0, 0
2017-08-02, 74, 47, 60.5, 0.06, 0.0, 0
2017-08-03, 67, 48, 57.5, 0.02, 0.0, 0
2017-08-04, 76, 43, 59.5, 0.00, 0.0, M
2017-08-05, 79, 40, 59.5, 0.00, 0.0, 0
2017-08-06, 82, 38, 60.0, 0.00, 0.0, 0
2017-08-07, 84, 40, 62.0, 0.00, 0.0, 0
2017-08-08, 80, 41, 60.5, 0.00, 0.0, 0
2017-08-09, 78, 37, 57.5, 0.00, 0.0, 0
2017-08-10, 82, 35, 58.5, 0.02, 0.0, 0
2017-08-11, 75, 46, 60.5, T, 0.0, 0
2017-08-12, 67, 41, 54.0, 0.06, 0.0, 0
2017-08-13, 70, 42, 56.0, 0.07, 0.0, 0
2017-08-14, 57, 41, 49.0, 0.17, 0.0, 0
2017-08-15, 63, 41, 52.0, 0.05, 0.0, 0
2017-08-16, 70, 31, 50.5, 0.00, 0.0, 0
2017-08-17, 60, 30, 45.0, 0.02, 0.0, 0
2017-08-18, 63, 39, 51.0, 0.17, 0.0, 0
2017-08-19, 58, 37, 47.5, 0.19, 0.0, 0
2017-08-20, 57, 38, 47.5, 0.21, 0.0, 0
2017-08-21, 60, 38, 49.0, 0.04, 0.0, 0
2017-08-22, 62, 42, 52.0, 0.07, 0.0, 0
2017-08-23, 63, 43, 53.0, 0.02, 0.0, 0
2017-08-24, 62, 41, 51.5, 0.02, 0.0, 0
2017-08-25, 62, 41, 51.5, T, 0.0, 0
2017-08-26, 60, 40, 50.0, T, 0.0, M
2017-08-27, 65, 32, 48.5, 0.00, 0.0, 0
2017-08-28, 62, 32, 47.0, 0.00, 0.0, 0
2017-08-29, 63, 36, 49.5, 0.14, 0.0, 0
2017-08-30, 60, 44, 52.0, 0.13, 0.0, 0
2017-08-31, 62, 41, 51.5, 0.08, 0.0, 0
2017-09-01, 60, 39, 49.5, 0.02, 0.0, 0
2017-09-02, 62, 37, 49.5, 0.01, 0.0, 0
