#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 2016-01-01 to 2021-11-01
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1096: May Creek, AK
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Precipitation Accumulation  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           PREC          Water year accumulated precipitation                                                               
# Precipitation Increment     Value       None           Day                           N/A        Inches             N/A           PRCP          Total precipitation                                                                                
# Snow Depth                  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent       Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# May Creek (1096) 
# Alaska  SNOTEL Site - 1610 ft
# Reporting Frequency: Daily; Date Range: 2016-01-01 to 2021-11-01
#
# As of: Nov 10, 2021 9:47:42 AM GMT-08:00
#
Date,May Creek (1096) Precipitation Accumulation (mm) Start of Day Values,May Creek (1096) Precipitation Increment (mm),May Creek (1096) Snow Depth (cm) Start of Day Values,May Creek (1096) Snow Water Equivalent (mm) Start of Day Values
2016-03-28,178,0,36,94
2016-03-29,178,3,33,89
2016-03-30,180,0,28,86
2016-03-31,180,0,25,79
2016-04-01,180,3,25,74
2016-04-02,183,0,25,74
2016-04-03,183,0,25,74
2016-04-04,183,0,25,74
2016-04-05,183,0,25,69
2016-04-06,183,0,25,66
2016-04-07,183,8,25,64
2016-04-08,190,0,30,76
2016-04-09,190,0,25,79
2016-04-10,190,0,25,69
2016-04-11,190,0,23,58
2016-04-12,190,0,20,51
2016-04-13,190,0,18,46
2016-04-14,190,0,15,41
2016-04-15,190,0,13,33
2016-04-16,190,0,10,28
2016-04-17,190,0,8,25
2016-04-18,190,0,8,10
2016-04-19,190,0,5,8
2016-04-20,190,0,0,0
2016-04-21,190,0,0,0
2016-04-22,190,0,0,0
2016-04-23,190,0,0,0
2016-04-24,190,0,0,0
2016-04-25,190,3,0,0
2016-04-26,193,0,0,0
2016-04-27,193,0,0,0
2016-04-28,193,0,0,0
2016-04-29,193,0,0,0
2016-04-30,193,0,0,0
2016-05-01,193,0,0,0
2016-05-02,193,5,0,0
2016-05-03,198,0,0,0
2016-05-04,198,0,0,0
2016-05-05,198,0,0,0
2016-05-06,198,0,0,0
2016-05-07,198,0,0,0
2016-05-08,198,0,0,0
2016-05-09,198,13,0,0
2016-05-10,211,0,0,0
2016-05-11,211,0,0,0
2016-05-12,211,0,0,0
2016-05-13,211,0,0,0
2016-05-14,211,0,0,0
2016-05-15,211,0,0,0
2016-05-16,211,0,0,0
2016-05-17,211,0,0,0
2016-05-18,211,0,0,0
2016-05-19,211,0,0,0
2016-05-20,211,3,0,0
2016-05-21,213,0,0,0
2016-05-22,213,0,0,0
2016-05-23,213,0,0,0
2016-05-24,213,3,0,0
2016-05-25,216,0,0,0
2016-05-26,216,0,0,0
2016-05-27,216,0,0,0
2016-05-28,216,0,0,0
2016-05-29,216,0,0,0
2016-05-30,216,0,0,0
2016-05-31,216,0,0,0
2016-06-01,216,0,0,0
2016-06-02,216,3,0,0
2016-06-03,218,3,0,0
2016-06-04,221,3,0,0
2016-06-05,224,0,0,0
2016-06-06,224,0,0,0
2016-06-07,224,0,0,0
2016-06-08,224,0,0,0
2016-06-09,224,0,0,0
2016-06-10,224,0,0,0
2016-06-11,224,0,0,0
2016-06-12,224,3,0,0
2016-06-13,226,0,0,0
2016-06-14,226,0,0,0
2016-06-15,226,0,0,0
2016-06-16,226,0,0,0
2016-06-17,226,0,0,0
2016-06-18,226,0,0,0
2016-06-19,226,0,0,0
2016-06-20,226,3,0,0
2016-06-21,229,0,0,0
2016-06-22,229,0,0,0
2016-06-23,229,0,0,0
2016-06-24,229,0,0,0
2016-06-25,229,3,0,0
2016-06-26,231,0,0,0
2016-06-27,231,0,0,0
2016-06-28,231,0,0,0
2016-06-29,231,0,0,0
2016-06-30,231,8,0,0
2016-07-01,239,0,0,0
2016-07-02,239,0,0,0
2016-07-03,239,0,0,0
2016-07-04,239,0,0,0
2016-07-05,239,0,0,0
2016-07-06,239,0,0,0
2016-07-07,239,0,0,0
2016-07-08,239,0,0,0
2016-07-09,239,0,0,0
2016-07-10,239,0,0,0
2016-07-11,239,3,0,0
2016-07-12,241,0,0,0
2016-07-13,241,0,0,0
2016-07-14,241,0,0,0
2016-07-15,241,0,0,0
2016-07-16,241,0,0,0
2016-07-17,241,0,0,0
2016-07-18,241,0,0,0
2016-07-19,241,0,0,0
2016-07-20,241,0,0,0
2016-07-21,241,3,0,0
2016-07-22,244,3,0,0
2016-07-23,246,5,0,0
2016-07-24,251,13,0,0
2016-07-25,264,5,0,0
2016-07-26,269,3,0,0
2016-07-27,272,3,0,0
2016-07-28,274,0,0,0
2016-07-29,274,3,0,0
2016-07-30,277,0,0,0
2016-07-31,277,0,0,0
2016-08-01,277,0,0,0
2016-08-02,277,3,0,0
2016-08-03,279,3,0,0
2016-08-04,282,3,0,0
2016-08-05,284,18,0,0
2016-08-06,302,5,0,0
2016-08-07,307,0,0,0
2016-08-08,307,3,0,0
2016-08-09,310,0,0,0
2016-08-10,310,0,0,0
2016-08-11,310,5,0,0
2016-08-12,315,5,0,0
2016-08-13,320,0,0,0
2016-08-14,320,0,0,0
2016-08-15,320,3,0,0
2016-08-16,323,3,0,0
2016-08-17,325,0,0,0
2016-08-18,325,5,0,0
2016-08-19,330,3,0,0
2016-08-20,333,0,0,0
2016-08-21,333,0,0,0
2016-08-22,333,0,0,0
2016-08-23,333,0,0,0
2016-08-24,333,18,0,0
2016-08-25,351,36,0,0
2016-08-26,386,3,0,0
2016-08-27,389,0,0,0
2016-08-28,389,0,0,0
2016-08-29,389,0,0,0
2016-08-30,389,0,0,0
2016-08-31,389,0,0,0
2016-09-01,389,0,0,0
2016-09-02,389,3,0,0
2016-09-03,391,0,0,0
2016-09-04,391,0,0,0
2016-09-05,391,0,0,0
2016-09-06,391,0,0,0
2016-09-07,391,0,0,0
2016-09-08,391,0,0,0
2016-09-09,391,0,0,0
2016-09-10,391,3,0,0
2016-09-11,394,3,0,0
2016-09-12,396,3,0,0
2016-09-13,399,3,0,0
2016-09-14,401,0,0,0
2016-09-15,401,3,0,0
2016-09-16,404,5,0,0
2016-09-17,409,0,0,0
2016-09-18,409,3,0,0
2016-09-19,411,0,0,0
2016-09-20,411,0,0,0
2016-09-21,411,3,0,0
2016-09-22,414,13,0,0
2016-09-23,427,0,0,0
2016-09-24,427,0,0,0
2016-09-25,427,3,0,0
2016-09-26,429,0,0,0
2016-09-27,429,0,0,0
2016-09-28,429,0,0,0
2016-09-29,429,0,0,0
2016-09-30,429,0,0,0
2016-10-01,0,0,0,0
2016-10-02,0,0,0,0
2016-10-03,0,0,0,0
2016-10-04,0,0,0,0
2016-10-05,0,3,0,0
2016-10-06,3,0,0,0
2016-10-07,3,0,0,0
2016-10-08,3,0,0,0
2016-10-09,3,0,0,0
2016-10-10,3,0,0,0
2016-10-11,3,0,0,0
2016-10-12,3,0,0,0
2016-10-13,3,0,0,0
2016-10-14,3,0,0,0
2016-10-15,3,0,0,0
2016-10-16,3,0,0,0
2016-10-17,3,3,0,0
2016-10-18,5,3,3,3
2016-10-19,8,0,3,3
2016-10-20,8,0,3,3
2016-10-21,8,0,3,3
2016-10-22,8,0,3,3
2016-10-23,8,0,3,3
2016-10-24,8,0,3,3
2016-10-25,8,0,3,3
2016-10-26,8,0,3,3
2016-10-27,8,0,3,3
2016-10-28,8,0,3,3
2016-10-29,8,0,3,3
2016-10-30,8,0,5,5
2016-10-31,8,0,5,5
2016-11-01,8,0,3,5
2016-11-02,8,0,5,5
2016-11-03,8,0,5,5
2016-11-04,8,0,5,5
2016-11-05,8,0,5,5
2016-11-06,8,0,8,5
2016-11-07,8,0,8,5
2016-11-08,8,0,8,5
2016-11-09,8,0,8,5
2016-11-10,8,0,8,5
2016-11-11,8,0,5,5
2016-11-12,8,0,5,5
2016-11-13,8,0,5,5
2016-11-14,8,0,5,5
2016-11-15,8,0,5,5
2016-11-16,8,0,5,5
2016-11-17,8,0,5,5
2016-11-18,8,0,8,5
2016-11-19,8,0,5,5
2016-11-20,8,0,8,5
2016-11-21,8,0,5,5
2016-11-22,8,0,5,5
2016-11-23,8,3,5,5
2016-11-24,10,0,8,8
2016-11-25,10,0,8,8
2016-11-26,10,0,8,8
2016-11-27,10,0,8,8
2016-11-28,10,0,8,8
2016-11-29,10,18,3,8
2016-11-30,28,0,18,25
2016-12-01,28,0,18,25
2016-12-02,28,3,15,25
2016-12-03,30,3,18,28
2016-12-04,33,0,23,30
2016-12-05,33,0,20,30
2016-12-06,33,0,20,30
2016-12-07,33,0,20,30
2016-12-08,33,0,20,30
2016-12-09,33,0,20,30
2016-12-10,33,0,20,30
2016-12-11,33,0,20,30
2016-12-12,33,0,20,30
2016-12-13,33,0,20,30
2016-12-14,33,0,20,30
2016-12-15,33,0,20,30
2016-12-16,33,5,20,30
2016-12-17,38,0,25,36
2016-12-18,38,0,20,36
2016-12-19,38,0,25,36
2016-12-20,38,0,25,36
2016-12-21,38,0,25,36
2016-12-22,38,0,25,36
2016-12-23,38,0,25,36
2016-12-24,38,0,25,36
2016-12-25,38,0,25,36
2016-12-26,38,0,25,36
2016-12-27,38,0,25,36
2016-12-28,38,0,23,36
2016-12-29,38,0,23,36
2016-12-30,38,8,23,36
2016-12-31,46,0,33,46
2017-01-01,46,0,30,46
2017-01-02,46,0,30,46
2017-01-03,46,0,28,46
2017-01-04,46,0,28,46
2017-01-05,46,0,28,46
2017-01-06,46,0,28,46
2017-01-07,46,0,30,46
2017-01-08,46,0,28,46
2017-01-09,46,0,28,46
2017-01-10,46,0,28,46
2017-01-11,46,0,28,46
2017-01-12,46,0,25,46
2017-01-13,46,0,28,46
2017-01-14,46,0,28,46
2017-01-15,46,0,28,46
2017-01-16,46,3,28,46
2017-01-17,48,0,30,48
2017-01-18,48,0,28,48
2017-01-19,48,0,30,48
2017-01-20,48,0,30,48
2017-01-21,48,0,30,48
2017-01-22,48,5,30,48
2017-01-23,53,5,38,56
2017-01-24,58,0,41,58
2017-01-25,58,5,38,58
2017-01-26,64,0,43,64
2017-01-27,64,0,43,64
2017-01-28,64,3,43,64
2017-01-29,66,0,46,66
2017-01-30,66,0,43,66
2017-01-31,66,0,43,66
2017-02-01,66,0,41,66
2017-02-02,66,0,38,66
2017-02-03,66,0,38,66
2017-02-04,66,0,41,66
2017-02-05,66,0,41,66
2017-02-06,66,0,41,66
2017-02-07,66,0,38,66
2017-02-08,66,0,38,66
2017-02-09,66,3,38,66
2017-02-10,69,0,41,69
2017-02-11,69,10,43,69
2017-02-12,79,0,53,79
2017-02-13,79,20,51,79
2017-02-14,99,0,53,99
2017-02-15,99,0,51,99
2017-02-16,99,0,48,99
2017-02-17,99,3,48,99
2017-02-18,102,0,48,99
2017-02-19,102,0,48,99
2017-02-20,102,0,48,99
2017-02-21,102,0,48,99
2017-02-22,102,0,48,99
2017-02-23,102,0,48,99
2017-02-24,102,3,48,99
2017-02-25,104,3,53,99
2017-02-26,107,0,53,99
2017-02-27,107,0,51,99
2017-02-28,107,0,51,99
2017-03-01,107,0,51,99
2017-03-02,107,0,51,99
2017-03-03,107,0,51,99
2017-03-04,107,0,51,99
2017-03-05,107,0,51,99
2017-03-06,107,0,51,99
2017-03-07,107,0,51,99
2017-03-08,107,0,51,99
2017-03-09,107,0,51,99
2017-03-10,107,0,51,99
2017-03-11,107,0,51,99
2017-03-12,107,0,51,99
2017-03-13,107,0,51,99
2017-03-14,107,0,51,99
2017-03-15,107,3,51,99
2017-03-16,109,0,53,102
2017-03-17,109,0,53,102
2017-03-18,109,0,53,102
2017-03-19,109,0,53,102
2017-03-20,109,3,53,102
2017-03-21,112,8,56,104
2017-03-22,119,0,64,114
2017-03-23,119,0,61,114
2017-03-24,119,0,61,114
2017-03-25,119,0,61,114
2017-03-26,119,0,61,114
2017-03-27,119,0,61,114
2017-03-28,119,0,58,114
2017-03-29,119,0,58,114
2017-03-30,119,0,58,114
2017-03-31,119,0,58,114
2017-04-01,119,0,56,114
2017-04-02,119,0,53,114
2017-04-03,119,0,53,114
2017-04-04,119,0,53,114
2017-04-05,119,0,51,114
2017-04-06,119,0,51,114
2017-04-07,119,0,48,114
2017-04-08,119,0,46,114
2017-04-09,119,0,43,117
2017-04-10,119,0,41,114
2017-04-11,119,0,38,109
2017-04-12,119,0,36,102
2017-04-13,119,0,30,99
2017-04-14,119,0,30,91
2017-04-15,119,0,28,89
2017-04-16,119,0,28,84
2017-04-17,119,0,25,79
2017-04-18,119,0,23,74
2017-04-19,119,0,23,69
2017-04-20,119,0,20,64
2017-04-21,119,0,20,58
2017-04-22,119,0,18,51
2017-04-23,119,0,15,43
2017-04-24,119,0,10,25
2017-04-25,119,0,5,10
2017-04-26,119,0,3,3
2017-04-27,119,0,0,0
2017-04-28,119,0,0,0
2017-04-29,119,0,0,0
2017-04-30,119,0,0,0
2017-05-01,119,0,0,0
2017-05-02,119,0,0,0
2017-05-03,119,0,0,0
2017-05-04,119,0,0,0
2017-05-05,119,0,0,0
2017-05-06,119,0,0,0
2017-05-07,119,0,0,0
2017-05-08,119,0,0,0
2017-05-09,119,3,0,0
2017-05-10,122,0,0,0
2017-05-11,122,0,0,0
2017-05-12,122,0,0,0
2017-05-13,122,0,0,0
2017-05-14,122,0,0,0
2017-05-15,122,0,0,0
2017-05-16,122,0,0,0
2017-05-17,122,0,0,0
2017-05-18,122,0,0,0
2017-05-19,122,0,0,0
2017-05-20,122,0,0,0
2017-05-21,122,3,0,0
2017-05-22,124,0,0,0
2017-05-23,124,0,0,0
2017-05-24,124,0,0,0
2017-05-25,124,0,0,0
2017-05-26,124,0,0,0
2017-05-27,124,0,0,0
2017-05-28,124,3,0,0
2017-05-29,127,0,0,0
2017-05-30,127,0,0,0
2017-05-31,127,0,0,0
2017-06-01,127,0,0,0
2017-06-02,127,3,0,0
2017-06-03,130,8,0,0
2017-06-04,137,3,0,0
2017-06-05,140,0,0,0
2017-06-06,140,0,0,0
2017-06-07,140,0,0,0
2017-06-08,140,0,0,0
2017-06-09,140,0,0,0
2017-06-10,140,0,0,0
2017-06-11,140,0,0,0
2017-06-12,140,3,0,0
2017-06-13,142,10,0,0
2017-06-14,152,3,0,0
2017-06-15,155,0,0,0
2017-06-16,155,0,0,0
2017-06-17,155,0,0,0
2017-06-18,155,0,0,0
2017-06-19,155,0,0,0
2017-06-20,155,15,0,0
2017-06-21,170,0,0,0
2017-06-22,170,0,0,0
2017-06-23,170,3,0,0
2017-06-24,173,0,0,0
2017-06-25,173,3,0,0
2017-06-26,175,0,0,0
2017-06-27,175,5,0,0
2017-06-28,180,0,0,0
2017-06-29,180,0,0,0
2017-06-30,180,0,0,0
2017-07-01,180,3,0,0
2017-07-02,183,3,0,0
2017-07-03,185,0,0,0
2017-07-04,185,0,0,0
2017-07-05,185,0,0,0
2017-07-06,185,3,0,0
2017-07-07,188,0,0,0
2017-07-08,188,25,0,0
2017-07-09,213,3,0,0
2017-07-10,216,3,0,0
2017-07-11,218,5,0,0
2017-07-12,224,0,0,0
2017-07-13,224,3,0,0
2017-07-14,226,0,0,0
2017-07-15,226,0,0,0
2017-07-16,226,3,0,0
2017-07-17,229,3,0,0
2017-07-18,231,0,0,0
2017-07-19,231,0,0,0
2017-07-20,231,0,0,0
2017-07-21,231,0,0,0
2017-07-22,231,0,0,0
2017-07-23,231,0,0,0
2017-07-24,231,0,0,0
2017-07-25,231,0,0,0
2017-07-26,231,0,0,0
2017-07-27,231,10,0,0
2017-07-28,241,0,0,0
2017-07-29,241,0,0,0
2017-07-30,241,0,0,0
2017-07-31,241,0,0,0
2017-08-01,241,3,0,0
2017-08-02,244,0,0,0
2017-08-03,244,0,0,0
2017-08-04,244,0,0,0
2017-08-05,244,0,0,0
2017-08-06,244,0,0,0
2017-08-07,244,0,0,0
2017-08-08,244,0,0,0
2017-08-09,244,0,0,0
2017-08-10,244,0,0,0
2017-08-11,244,0,0,0
2017-08-12,244,0,0,0
2017-08-13,244,3,0,0
2017-08-14,246,0,0,0
2017-08-15,246,0,0,0
2017-08-16,246,0,0,0
2017-08-17,246,3,0,0
2017-08-18,249,0,0,0
2017-08-19,249,5,0,0
2017-08-20,254,0,0,0
2017-08-21,254,3,0,0
2017-08-22,257,0,0,0
2017-08-23,257,0,0,0
2017-08-24,257,0,0,0
2017-08-25,257,0,0,0
2017-08-26,257,0,0,0
2017-08-27,257,0,0,0
2017-08-28,257,0,0,0
2017-08-29,257,8,0,0
2017-08-30,264,0,0,0
2017-08-31,264,0,0,0
2017-09-01,264,0,0,0
2017-09-02,264,0,0,0
2017-09-03,264,0,0,0
2017-09-04,264,13,0,0
2017-09-05,277,18,0,0
2017-09-06,295,0,0,0
2017-09-07,295,0,0,0
2017-09-08,295,0,0,0
2017-09-09,295,3,0,0
2017-09-10,297,0,0,0
2017-09-11,297,0,0,0
2017-09-12,297,0,0,0
2017-09-13,297,0,0,0
2017-09-14,297,3,0,0
2017-09-15,300,0,0,0
2017-09-16,300,0,0,0
2017-09-17,300,0,0,0
2017-09-18,300,0,0,0
2017-09-19,300,0,0,0
2017-09-20,300,0,0,0
2017-09-21,300,8,0,0
2017-09-22,307,3,0,0
2017-09-23,310,0,0,0
2017-09-24,310,0,0,0
2017-09-25,310,0,0,0
2017-09-26,310,5,0,0
2017-09-27,315,5,0,0
2017-09-28,320,0,0,0
2017-09-29,320,0,0,0
2017-09-30,320,0,0,0
2017-10-01,0,0,0,0
2017-10-02,0,5,0,0
2017-10-03,5,3,0,0
2017-10-04,8,8,0,0
2017-10-05,15,0,0,0
2017-10-06,15,3,0,0
2017-10-07,18,0,0,0
2017-10-08,18,5,0,0
2017-10-09,23,0,0,0
2017-10-10,23,0,0,0
2017-10-11,23,0,0,0
2017-10-12,23,3,0,0
2017-10-13,25,15,3,5
2017-10-14,41,3,8,18
2017-10-15,43,3,5,18
2017-10-16,46,0,5,18
2017-10-17,46,0,5,18
2017-10-18,46,0,5,18
2017-10-19,46,3,3,18
2017-10-20,48,3,5,20
2017-10-21,51,0,8,23
2017-10-22,51,0,8,23
2017-10-23,51,0,8,23
2017-10-24,51,0,8,23
2017-10-25,51,3,8,23
2017-10-26,53,0,10,25
2017-10-27,53,3,8,25
2017-10-28,56,0,5,23
2017-10-29,56,3,5,23
2017-10-30,58,18,5,23
2017-10-31,76,3,5,25
2017-11-01,79,3,5,20
2017-11-02,81,0,5,20
2017-11-03,81,0,5,20
2017-11-04,81,0,5,20
2017-11-05,81,5,5,20
2017-11-06,86,0,8,25
2017-11-07,86,0,8,25
2017-11-08,86,0,8,25
2017-11-09,86,3,8,25
2017-11-10,89,0,10,28
2017-11-11,89,0,10,28
2017-11-12,89,0,10,28
2017-11-13,89,0,10,28
2017-11-14,89,0,10,28
2017-11-15,89,0,10,28
2017-11-16,89,8,10,28
2017-11-17,97,0,20,36
2017-11-18,97,0,18,36
2017-11-19,97,0,15,36
2017-11-20,97,3,20,36
2017-11-21,99,0,18,36
2017-11-22,99,0,18,36
2017-11-23,99,0,18,36
2017-11-24,99,0,20,36
2017-11-25,99,0,18,36
2017-11-26,99,0,18,36
2017-11-27,99,0,18,36
2017-11-28,99,0,18,36
2017-11-29,99,0,18,36
2017-11-30,99,0,18,36
2017-12-01,99,3,15,36
2017-12-02,102,3,18,38
2017-12-03,104,0,20,41
2017-12-04,104,3,20,41
2017-12-05,107,0,20,41
2017-12-06,107,20,20,41
2017-12-07,127,20,23,41
2017-12-08,147,8,20,43
2017-12-09,155,5,18,43
2017-12-10,160,3,18,43
2017-12-11,163,5,18,43
2017-12-12,168,0,18,43
2017-12-13,168,8,18,43
2017-12-14,175,3,20,43
2017-12-15,178,0,18,43
2017-12-16,178,3,20,43
2017-12-17,180,0,20,43
2017-12-18,180,0,20,43
2017-12-19,180,0,18,43
2017-12-20,180,0,18,43
2017-12-21,180,0,18,43
2017-12-22,180,0,18,43
2017-12-23,180,3,18,43
2017-12-24,183,0,20,43
2017-12-25,183,0,20,43
2017-12-26,183,0,20,43
2017-12-27,183,0,20,43
2017-12-28,183,0,20,43
2017-12-29,183,0,20,43
2017-12-30,183,0,20,43
2017-12-31,183,0,20,43
2018-01-01,183,0,20,43
2018-01-02,183,0,20,43
2018-01-03,183,0,20,43
2018-01-04,183,0,20,43
2018-01-05,183,3,20,43
2018-01-06,185,0,23,46
2018-01-07,185,0,23,46
2018-01-08,185,0,23,46
2018-01-09,185,0,20,46
2018-01-10,185,0,20,46
2018-01-11,185,0,,46
2018-01-12,185,0,,46
2018-01-13,185,0,,46
2018-01-14,185,13,,46
2018-01-15,198,18,,53
2018-01-16,216,0,,64
2018-01-17,216,0,,64
2018-01-18,216,0,,64
2018-01-19,216,0,,64
2018-01-20,216,0,,64
2018-01-21,216,0,,64
2018-01-22,216,0,,64
2018-01-23,216,0,,64
2018-01-24,216,0,,64
2018-01-25,216,0,,64
2018-01-26,216,0,,64
2018-01-27,216,0,,64
2018-01-28,216,0,,64
